Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Djibouti,Africa,988012,4715,,55,,4564,,96,,4772,56,46779,47347,EasternMediterranean
Mauritania,Africa,4649000,4606,,129,,1727,,2750,21,991,28,13842,2977,Africa
French Guiana,South America,298642,4444,,16,,1680,,2748,20,14881,54,8707,29155,
Luxembourg,Europe,625977,4395,,110,,4012,,273,2,7021,176,198947,317818,Europe
Hungary,Europe,9660120,4166,,587,,2721,,858,8,431,61,279690,28953,Europe
Costa Rica,North America,5094286,4023,,18,,1589,,2416,6,790,4,43865,8611,Americas
CAR,Africa,4829713,3788,,47,,810,,2931,2,784,10,24362,5044,
Greece,Europe,10422517,3458,,192,,1374,,1892,8,332,18,320427,30744,Europe
Thailand,Asia,69801192,3180,1,58,,3066,7,56,1,46,0.8,603657,8648,South-EastAsia
Palestine,Asia,5100970,3080,,9,,460,,2611,,604,2,84621,16589,EasternMediterranean
Equatorial Guinea,Africa,1402571,3071,1070,51,19,842,327,2178,,2190,36,16000,11408,Africa
Somalia,Africa,15890447,2944,,90,,951,,1903,2,185,6,,,EasternMediterranean
Croatia,Europe,4104985,2912,,110,,2155,,647,3,709,27,81437,19839,Europe
Albania,Europe,2877770,2662,,69,,1559,,1034,10,925,24,24237,8422,Europe
